Country,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"China, P.R.: Hong Kong","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,-1.0
"China, P.R.: Macao","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
"China, P.R.: Mainland","Climate related disasters frequency, Number of Disasters: TOTAL",34.0,33.0,31.0,30.0,26.0,20.0,13.0,11.0,12.0,7.0
Colombia,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,5.0,4.0,2.0,7.0,2.0,6.0,6.0,11.0,14.0
"Comoros, Union of the","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
"Congo, Dem. Rep. of the","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,2.0,4.0,2.0,2.0,1.0,3.0,6.0,-1.0,5.0
"Congo, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,1.0,1.0
Cook Islands,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Costa Rica,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,1.0,1.0,1.0,2.0,-1.0,1.0,1.0,1.0
Côte d'Ivoire,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
"Croatia, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,2.0,1.0,-1.0,2.0,1.0,1.0,-1.0,-1.0,1.0
Cuba,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0
Cyprus,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
Czech Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,3.0,2.0
Denmark,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
Djibouti,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
Dominica,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Dominican Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,3.0,3.0,3.0,2.0,-1.0,2.0,2.0,3.0
Ecuador,"Climate related disasters frequency, Number of Disasters: TOTAL",4.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,1.0,2.0,5.0
"Egypt, Arab Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,3.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
El Salvador,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,4.0,1.0,2.0
"Eritrea, The State of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"Estonia, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
"Eswatini, Kingdom of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
"Ethiopia, The Federal Dem. Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,2.0,2.0,-1.0,2.0,2.0,4.0,2.0,2.0
"Fiji, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,1.0,2.0,-1.0,2.0,1.0,3.0,1.0,1.0
Finland,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
France,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,7.0,3.0,1.0,3.0,7.0,9.0,7.0,9.0,6.0
French Polynesia,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Gabon,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"Gambia, The","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
Georgia,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
Germany,"Climate related disasters frequency, Number of Disasters: TOTAL",4.0,2.0,-1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0
