Country,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Georgia,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,1.0,1.0,1.25,1.25,1.0,1.0,1.0,1.0,1.0
Germany,"Climate related disasters frequency, Number of Disasters: TOTAL",4.0,2.0,2.5555555555555554,1.0,3.0,2.0,3.0,1.0,3.0,4.0
Ghana,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.4444444444444444,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
Greece,"Climate related disasters frequency, Number of Disasters: TOTAL",1.3333333333333333,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
Guatemala,"Climate related disasters frequency, Number of Disasters: TOTAL",3.3333333333333335,4.0,3.0,2.0,6.0,3.0,2.0,5.0,3.0,2.0
Guinea,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.1666666666666667,2.0,1.1666666666666667,1.0,1.1666666666666667,1.1666666666666667,1.0,1.0,1.0
Haiti,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.0,2.0,8.0,5.0,2.888888888888889,2.0,1.0,3.0,2.0
Honduras,"Climate related disasters frequency, Number of Disasters: TOTAL",2.7142857142857144,3.0,2.7142857142857144,2.0,4.0,2.0,2.7142857142857144,4.0,1.0,3.0
Hungary,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,1.1666666666666667,1.0,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,1.1666666666666667
India,"Climate related disasters frequency, Number of Disasters: TOTAL",11.0,16.0,19.0,15.0,18.0,23.0,12.0,11.0,16.0,7.0
Indonesia,"Climate related disasters frequency, Number of Disasters: TOTAL",12.0,8.0,11.0,12.0,10.0,8.0,14.0,26.0,21.0,13.0
"Iran, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",3.0,1.0,5.0,1.0,2.0,1.0,3.0,7.0,4.0,3.0
Iraq,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.2857142857142858,1.0,1.2857142857142858,1.2857142857142858,1.0,1.0,1.0,3.0,1.0
Ireland,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Israel,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.2,1.0,1.0,1.2,1.0,1.2,2.0,1.2,1.2
